,Date,Open,High,Low,Close,Volume,Week,Quarter,Month Name,Day Name,Day,Month
698,2020-03-25,145.162,150.454,140.803,143.226,77590568.654439,13,1,March,Wednesday,25,3
697,2020-03-26,144.655,152.698,144.625,152.171,66364293.184449,13,1,March,Thursday,26,3
696,2020-03-27,147.932,151.01,145.45,145.936,58514643.509344,13,1,March,Friday,27,3
695,2020-03-30,148.597,156.54,146.245,156.172,65057304.544607,14,1,March,Monday,30,3
694,2020-03-31,155.407,160.619,152.608,153.74,79938611.988087,14,1,March,Tuesday,31,3
693,2020-04-01,149.144,153.78,147.039,148.269,59466221.870843,14,2,April,Wednesday,1,4
692,2020-04-02,148.032,151.585,146.582,151.367,50911783.275986,14,2,April,Thursday,2,4
691,2020-04-03,151.218,153.412,148.349,149.957,42307839.527363,14,2,April,Friday,3,4
690,2020-04-06,156.261,162.317,153.61,161.096,68843957.755152,15,2,April,Monday,6,4
689,2020-04-07,165.305,165.712,159.169,159.399,64389207.075627,15,2,April,Tuesday,7,4
688,2020-04-08,161.493,162.486,159.409,160.956,49565404.662431,15,2,April,Wednesday,8,4
687,2020-04-09,162.178,163.171,159.239,160.966,52759311.545118,15,2,April,Thursday,9,4
686,2020-04-13,160.212,161.393,158.217,161.334,42986905.348823,16,2,April,Monday,13,4
685,2020-04-14,164.739,169.376,163.776,169.327,54239109.403734,16,2,April,Tuesday,14,4
684,2020-04-15,166.894,169.197,164.978,167.559,41997580.906648,16,2,April,Wednesday,15,4
683,2020-04-16,169.921,172.83,168.551,172.593,51782569.129836,16,2,April,Thursday,16,4
682,2020-04-17,174.985,175.47,171.441,174.1,54127590.601289,16,2,April,Friday,17,4
681,2020-04-20,172.195,174.25,170.577,170.647,37616096.28333,17,2,April,Monday,20,4
680,2020-04-21,169.127,169.297,161.93,163.598,57654456.3335,17,2,April,Tuesday,21,4
679,2020-04-22,167.072,169.624,166.527,169.147,35546016.929119,17,2,April,Wednesday,22,4
678,2020-04-23,169.734,170.647,166.615,167.102,33637187.163498,17,2,April,Thursday,23,4
677,2020-04-24,167.737,170.18,166.417,170.17,35190796.020804,17,2,April,Friday,24,4
676,2020-04-27,172.156,172.453,168.929,169.674,34051184.298795,18,2,April,Monday,27,4
675,2020-04-28,171.163,171.241,165.128,165.534,35280425.460795,18,2,April,Tuesday,28,4
674,2020-04-29,168.86,173.198,167.559,172.98,52610347.840925,18,2,April,Wednesday,29,4
673,2020-04-30,175.47,175.868,171.798,174.697,55266479.090946,18,2,April,Thursday,30,4
672,2020-05-01,171.371,174.14,169.634,170.19,40386689.629574,18,2,May,Friday,1,5
671,2020-05-04,170.111,174.499,169.425,174.34,31156833.608215,19,2,May,Monday,4,5
670,2020-05-05,176.077,179.025,175.373,176.216,37790044.744151,19,2,May,Tuesday,5,5
669,2020-05-06,177.487,179.572,177.07,177.944,32968866.076716,19,2,May,Wednesday,6,5
668,2020-05-07,179.542,179.919,177.982,178.976,29046874.738616,19,2,May,Thursday,7,5
667,2020-05-08,180.336,180.356,178.738,180.049,31710542.51295,19,2,May,Friday,8,5
666,2020-05-11,178.529,182.788,178.242,182.024,31690050.258117,20,2,May,Monday,11,5
665,2020-05-12,182.083,182.321,177.705,177.914,32865154.758896,20,2,May,Tuesday,12,5
664,2020-05-13,177.952,179.422,172.106,175.233,45865562.501737,20,2,May,Wednesday,13,5
663,2020-05-14,173.079,176.147,171.251,175.987,42954742.662195,20,2,May,Thursday,14,5
662,2020-05-15,174.547,182.341,172.553,178.539,47813471.996552,20,2,May,Friday,15,5
661,2020-05-18,181.081,181.517,179.333,180.266,36217941.082925,21,2,May,Monday,18,5
660,2020-05-19,180.386,181.894,178.866,179.006,27490844.362405,21,2,May,Tuesday,19,5
659,2020-05-20,180.663,181.676,179.819,181.498,31979174.981928,21,2,May,Wednesday,20,5
658,2020-05-21,181.249,182.471,179.175,179.313,29788171.782833,21,2,May,Thursday,21,5
657,2020-05-22,179.075,180.326,178.429,179.392,21305137.777072,21,2,May,Friday,22,5
656,2020-05-26,182.143,182.301,177.04,177.487,36901952.68551,22,2,May,Tuesday,26,5
655,2020-05-27,176.157,177.904,172.642,177.725,40424561.621177,22,2,May,Wednesday,27,5
654,2020-05-28,176.682,180.019,176.335,177.338,34608688.662446,22,2,May,Thursday,28,5
653,2020-05-29,178.619,180.137,176.355,179.135,43114517.582032,22,2,May,Friday,29,5
652,2020-06-01,178.429,178.886,177.387,178.718,23189354.475113,23,2,June,Monday,1,6
